,cluster 1: profiles,cluster 1: kw,cluster 1: count
108,,debasement,1
109,,theft,1
110,,discovered,1
111,,money,1
112,,Full,1
113,,Steam,1
114,,Ahead,1
115,,FGcq4EHahF,1
116,,Discover,1
117,,71KwssihbY,1
118,,Actually,1
119,,Scales,1
120,,USD,1
121,,qCT6rI62gp,1
122,,Rogue,1
123,,YBqBLLfRJO,1
124,,provided,1
125,,grants,1
126,,teams,1
127,,developed,1
128,,innovative,1
129,,prototypes,1
130,,using,1
131,,democratic,1
132,,input,1
133,,help,1
134,,define,1
135,,system,1
136,,behavior,1
137,,Read,1
138,,learnings,1
139,,put,1
140,,work,1
141,,practice,1
142,,I8lxap2dF2,1
143,,Snapshot,1
144,,preparing,1
145,,worldwide,1
146,,elections,1
147,,Working,1
148,,prevent,1
149,,abuse,1
150,,misleading,1
151,,deepfakes,1
152,,Providing,1
153,,transparency,1
154,,content,1
155,,Improving,1
156,,access,1
157,,authoritative,1
158,,voting,1
159,,information,1
160,,qsysYy5l0L,1
161,,Another,1
162,,episode,1
163,,Coin,1
164,,Bureau,1
165,,Q,1
166,,SEI,1
167,,SUI,1
168,,TIA,1
169,,Token,1
170,,Potential,1
171,,KY2FeRhyfv,1
172,,Interesting,1
173,,narrative,1
174,,borne,1
175,,data,1
176,,y4F8lGebsk,1
177,,promising,1
178,,invest,1
179,,rugpull,1
180,,scam,1
181,,designed,1
182,,leave,1
183,,rekt,1
184,,Well,1
185,,exactly,1
186,,need,1
187,,complete,1
188,,checklist,1
189,,avoid,1
190,,pitfalls,1
191,,covered,1
192,,today,1
193,,S1YlWja9gF,1
194,,still,1
195,,say,1
196,,l8F3rVJAhb,1
197,,RT,1
198,,coinbureau,1
199,,CBC,1
200,,members,1
201,,enjoying,1
202,,subscription,1
203,,right,1
204,,gates,1
205,,Apart,1
206,,small,1
207,,cap,1
208,,reviews,1
209,,rundown,1
210,,recent,1
211,,CPI,1
212,,Larry,1
213,,Fink,1
214,,singing,1
215,,praises,1
216,,MP2s9rDELq,1
217,,milly,1
218,,memcoin,1
219,,fool,1
220,,gold,1
221,,traps,1
222,,novice,1
223,,investors,1
224,,explored,1
225,,video,1
226,,BONK,1
227,,SHIB,1
228,,DOGE,1
229,,WIF,1
230,,A6E202FKsL,1
231,,Shout,1
232,,Grayscale,1
233,,real,1
234,,MVPs,1
235,,G1mLfBNE0F,1
236,,seem,1
237,,bad,1
238,,least,1
239,,655m,1
240,,inflows,1
241,,gkdsSrMtb1,1
242,,great,1
243,,Padel,1
244,,rivalry,1
245,,continues,1
246,,bZFbyGwIqF,1
247,,ETF,1
248,,eventually,1
249,,approved,1
250,,eESy82tgVE,1
251,,Real,1
252,,World,1
253,,Assets,1
254,,attention,1
255,,major,1
256,,players,1
257,,JP,1
258,,Morgan,1
259,,Blackrock,1
260,,catalyst,1
261,,brings,1
262,,next,1
263,,trillion,1
264,,explore,1
265,,xDlgHBbz9v,1
266,,markets,1
267,,Satashi,1
268,,start,1
269,,coins,1
270,,8j3bpOH6K3,1
271,,Hailed,1
272,,Ultimate,1
273,,High,1
274,,Speed,1
275,,Blockchain,1
276,,hype,1
277,,project,1
278,,HioJsVXd7M,1
279,,miners,1
280,,likely,1
281,,sure,1
282,,capitalised,1
283,,ahead,1
284,,halving,1
285,,bFKr5tg8iH,1
286,,Thursday,1
287,,means,1
288,,back,1
289,,NFA,1
290,,Coming,1
291,,NewsAsset,1
292,,6pm,1
293,,9am,1
294,,CB,1
295,,Clips,1
296,,See,1
297,,gAvndCdh0x,1
298,,QNmRjrst1F,1
299,,one,1
300,,exciting,1
301,,performing,1
302,,bull,1
303,,run,1
304,,update,1
305,,DOT,1
306,,enter,1
307,,spotlight,1
308,,YzyANGuRlx,1
309,,Discuss,1
310,,V9RptmVkcN,1
311,,Gary,1
312,,getting,1
313,,ready,1
314,,eat,1
315,,yet,1
316,,another,1
317,,massive,1
318,,L,1
319,,chances,1
320,,knows,1
321,,CBDC,1
322,,Seems,1
323,,talking,1
324,,point,1
325,,votes,1
326,,35sPCPsgPI,1
327,,WTF,1
328,,going,1
329,,WEF,1
330,,ILX3PEG2bo,1
331,,first,1
332,,time,1
333,,said,1
334,,made,1
335,,statement,1
336,,interviews,1
337,,Maybe,1
338,,CNBC,1
339,,stop,1
340,,asking,1
341,,dimwitted,1
342,,twit,1
343,,opinion,1
344,,Qp8leYXfEi,1
345,,completely,1
346,,things,1
347,,must,1
348,,know,1
349,,investing,1
350,,broken,1
351,,Y3hGSVtsBZ,1
352,,Going,1
353,,jessicasmw,1
354,,30pm,1
355,,30am,1
356,,Lot,1
357,,selloff,1
358,,Dencun,1
359,,upgrade,1
360,,CpyXPAalJt,1
361,,IFTaPMG7YJ,1
362,,presidential,1
363,,ticket,1
364,,best,1
